builder_name:             None
type_name:                hustler 35
category:                 zeiljacht
build_material:           polyester
build_year:               1977.0
asking_price_euros:       18500.0
length_over_all_meters:   10.76
width_meters:             3.17
draft_meters:             1.87
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87516/XXX
